,name,year,place,style,genre,painting_url
360,Apricot Trees in Blossom,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads2.wikiart.org/images/vincent-van-gogh/apricot-trees-in-blossom-1888(1).jpg
361,Arles View from the Wheat Fields,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads1.wikiart.org/images/vincent-van-gogh/arles-view-from-the-wheat-fields-1888(1).jpg
362,Avenue in the Park,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads5.wikiart.org/images/vincent-van-gogh/avenue-in-the-park-1888(1).jpg
363,Avenue of Plane Trees near Arles Station,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads0.wikiart.org/images/vincent-van-gogh/avenue-of-plane-trees-near-arles-station-1888(1).jpg
364,Blossoming Almond Branch in a Glass,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
flower painting
",https://uploads4.wikiart.org/images/vincent-van-gogh/blossoming-almond-branch-in-a-glass-1888(1).jpg
365,Blossoming Almond Branch in a Glass with a Book,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
still life
",https://uploads7.wikiart.org/images/vincent-van-gogh/blossoming-almond-branch-in-a-glass-with-a-book-1888(1).jpg
366,"Café Terrace at Night (Place du Forum, Arles)",1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
cityscape
",https://uploads2.wikiart.org/images/vincent-van-gogh/cafe-terrace-place-du-forum-arles-1888(1).jpg
367,Coal Barges,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
cityscape
",https://uploads7.wikiart.org/images/vincent-van-gogh/coal-barges-1888(1).jpg
368,Coal Barges,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
cityscape
",https://uploads0.wikiart.org/images/vincent-van-gogh/coal-barges-1888-1(1).jpg
369,Encampment of Gypsies with Caravans,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
genre painting
",https://uploads4.wikiart.org/images/vincent-van-gogh/encampment-of-gypsies-with-caravans-1888(1).jpg
370,Entrance to the Public Garden in Arles,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
cityscape
",https://uploads7.wikiart.org/images/vincent-van-gogh/entrance-to-the-public-garden-in-arles-1888(1).jpg
371,Farmhouse in a Wheat Field,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/farmhouse-in-a-wheat-field-1888-1(1).jpg
372,Farmhouse in Provence,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads8.wikiart.org/images/vincent-van-gogh/farmhouse-in-provence-1888(1).jpg
373,Farmhouses in a Wheat Field Near Arles,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads7.wikiart.org/images/vincent-van-gogh/farmhouses-in-a-wheat-field-near-arles-1888(1).jpg
374,Fishing Boats at Sea,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
marina
",https://uploads0.wikiart.org/images/vincent-van-gogh/fishing-boats-at-sea-1888-1(1).jpg
375,Fishing boats on the Beach at Les Saintes-Maries-de-la-Mer,1888,"Saintes-maries-de-la-mer, France","
Post-Impressionism
","
marina
",https://uploads0.wikiart.org/00197/images/vincent-van-gogh/preuzmi.png
376,Flowering Garden,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads3.wikiart.org/images/vincent-van-gogh/flowering-garden-1888(1).jpg
377,Garden Behind a House,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads8.wikiart.org/images/vincent-van-gogh/garden-behind-a-house-1888(1).jpg
378,Garden with Flowers,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads8.wikiart.org/images/vincent-van-gogh/garden-with-flowers-1888-1(1).jpg
379,Garden with Weeping Willow,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads4.wikiart.org/images/vincent-van-gogh/garden-with-weeping-willow-1888(1).jpg
380,Girl with Ruffled Hair (The Mudlark),1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads3.wikiart.org/images/vincent-van-gogh/girl-with-ruffled-hair-the-mudlark-1888(1).jpg
381,Green Ears of Wheat,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/green-ears-of-wheat-1888(1).jpg
382,"Harvest at La Crau, with Montmajour in the Background",1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads0.wikiart.org/images/vincent-van-gogh/harvest-at-la-crau-with-montmajour-in-the-background-1888.jpg
383,Harvest in Provence,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/harvest-in-provence-1888(1).jpg
384,Haystacks in Provence,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads5.wikiart.org/images/vincent-van-gogh/haystacks-in-provence-1888.jpg
385,Interior of a Restaurant in Arles,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
interior
",https://uploads8.wikiart.org/images/vincent-van-gogh/interior-of-a-restaurant-in-arles-1888.jpg
386,Ladies of Arles (Memories of the Garden at Etten),1888,"Arles, Bouches-du-Rhône, France","
Cloisonnism
","
genre painting
",https://uploads4.wikiart.org/images/vincent-van-gogh/ladies-of-arles-memories-of-the-garden-at-etten-1888.jpg
387,Landscape under a Stormy Sky,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads2.wikiart.org/00380/images/vincent-van-gogh/1.png
388,Landscape with Snow,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads3.wikiart.org/images/vincent-van-gogh/landscape-with-snow-1888.jpg
389,"L'Arlesienne, Portrait of Madame Ginoux",1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads6.wikiart.org/images/vincent-van-gogh/l-arlesienne-portrait-of-madame-ginoux-1888-1.jpg
390,Les Alyscamps,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
cityscape
",https://uploads0.wikiart.org/images/vincent-van-gogh/les-alyscamps-1888(2).jpg
391,Mother Roulin with Her Baby,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads2.wikiart.org/images/vincent-van-gogh/mother-roulin-with-her-baby-1888.jpg
392,Mother Roulin with Her Baby,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads4.wikiart.org/images/vincent-van-gogh/mother-roulin-with-her-baby-1888-1.jpg
393,Oleanders and Books,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
still life
",https://uploads3.wikiart.org/00220/images/vincent-van-gogh/antique-3937525-1.jpg
